,Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
0,35.0,-1.0,64.0,-580.0,-16536.0,-2324.0,-1.0,-1.0,-1.0,100.0,Happy
1,34.0,1.0,64.0,-564.0,-16492.0,-2444.0,1244.0,-7380.0,-15496.0,100.0,Happy
2,-1.0,-1.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
3,34.0,1.0,64.0,-784.0,-16624.0,-2376.0,1252.0,-7404.0,-15816.0,100.0,Happy
4,34.0,-1.0,64.0,-904.0,-16488.0,-2292.0,-1.0,-1.0,-1.0,100.0,Happy
5,-1.0,1.0,64.0,-1.0,-1.0,-1.0,1332.0,-7336.0,-15616.0,100.0,Happy
6,35.0,-1.0,64.0,-820.0,-16560.0,-2388.0,-1.0,-1.0,-1.0,100.0,Happy
7,-1.0,1.0,64.0,-1.0,-1.0,-1.0,1220.0,-7208.0,-15696.0,100.0,Happy
8,34.0,-1.0,64.0,-896.0,-16504.0,-2332.0,-1.0,-1.0,-1.0,100.0,Happy
9,-1.0,1.0,64.0,-1.0,-1.0,-1.0,1244.0,-7324.0,-15708.0,100.0,Happy
10,34.0,-1.0,64.0,-748.0,-16544.0,-2356.0,-1.0,-1.0,-1.0,100.0,Happy
11,-1.0,-1.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
12,34.0,1.0,64.0,-884.0,-16660.0,-2464.0,1168.0,-7384.0,-15588.0,100.0,Happy
13,35.0,1.0,64.0,-880.0,-16664.0,-2400.0,1112.0,-7428.0,-15548.0,100.0,Happy
14,-1.0,1.0,56.0,-1.0,-1.0,-1.0,1232.0,-7420.0,-15644.0,100.0,Happy
15,35.0,-1.0,56.0,-952.0,-16460.0,-2380.0,-1.0,-1.0,-1.0,100.0,Happy
16,35.0,1.0,56.0,-876.0,-16524.0,-2224.0,1232.0,-7412.0,-15712.0,100.0,Happy
17,35.0,1.0,56.0,-796.0,-16632.0,-2376.0,1208.0,-7328.0,-15604.0,100.0,Happy
18,35.0,1.0,56.0,-732.0,-16564.0,-2268.0,1320.0,-7376.0,-15556.0,100.0,Happy
19,35.0,1.0,56.0,-752.0,-16472.0,-2296.0,1216.0,-7328.0,-15776.0,100.0,Happy
20,35.0,1.0,56.0,-820.0,-16620.0,-2408.0,1312.0,-7368.0,-15564.0,150.0,Happy
21,-1.0,1.0,56.0,-1.0,-1.0,-1.0,1248.0,-7372.0,-15664.0,150.0,Happy
22,35.0,1.0,56.0,-804.0,-16564.0,-2272.0,1304.0,-7276.0,-15704.0,150.0,Happy
23,35.0,-1.0,56.0,-932.0,-16460.0,-2340.0,-1.0,-1.0,-1.0,150.0,Happy
24,35.0,1.0,56.0,-940.0,-16504.0,-2248.0,1184.0,-7452.0,-15580.0,150.0,Happy
25,35.0,-1.0,56.0,-980.0,-16524.0,-2420.0,-1.0,-1.0,-1.0,150.0,Happy
26,35.0,1.0,56.0,-1052.0,-16436.0,-2220.0,1260.0,-7404.0,-15664.0,150.0,Happy
27,-1.0,1.0,56.0,-1.0,-1.0,-1.0,1276.0,-7336.0,-15636.0,150.0,Happy
28,35.0,-1.0,56.0,-672.0,-16604.0,-2420.0,-1.0,-1.0,-1.0,150.0,Happy
29,-1.0,1.0,56.0,-1.0,-1.0,-1.0,1156.0,-7384.0,-15700.0,150.0,Happy
30,35.0,-1.0,56.0,-736.0,-16528.0,-2368.0,-1.0,-1.0,-1.0,150.0,Happy
31,-1.0,-1.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Happy
32,35.0,1.0,56.0,-856.0,-16460.0,-2308.0,1156.0,-7360.0,-15620.0,150.0,Happy
